,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,11,11,12,12,13,15,16,16,16.0
Reserves,140,147,213,218,163,157,212,225,239.0
Preference Capital,8,0,0,0,0,0,0,0,
Borrowings,330,362,357,417,470,470,585,668,663.0
Other Liabilities,220,267,320,290,276,390,417,439,420.0
Total Liabilities,701,787,902,937,922,1032,1230,1349,1339.0
Fixed Assets,361,365,386,386,382,415,477,490,404.0
CWIP,7,28,16,16,50,31,18,29,17.0
Investments,0,0,0,1,1,1,1,1,2.0
Other Assets,333,394,499,535,489,586,733,829,916.0
Total Assets,701,787,902,937,922,1032,1230,1349,1339.0
