,2023-06-01
Depreciation,0.17
EPS in Rs,41.93
Expenses,24.6
Interest,0.13
Net Profit,3.6
OPM %,16.75
Operating Profit,4.95
Other Income,0.25
Profit before tax,4.9
Sales,29.55
Tax %,26.53
