,2021-03-01,2022-03-01,2023-03-01
Debtor Days,125.0,71,69
Inventory Days,16.0,1,27
Days Payable,73.0,74,120
Cash Conversion Cycle,68.0,-2,-25
Working Capital Days,72.0,6,-20
ROCE %,,13,66
