,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,9.37,3.66,0.62,0.83,0.91,12.65,7.63,31.51,16.48,0.27,-0.29,1.59,1.96
Expenses,9.83,4.47,0.13,0.25,0.37,11.94,7.04,29.58,15.63,0.21,0.19,0.36,0.39
Operating Profit,-0.46,-0.81,0.49,0.58,0.54,0.71,0.59,1.93,0.85,0.06,-0.48,1.23,1.57
OPM %,-4.91,-22.13,79.03,69.88,59.34,5.61,7.73,6.13,5.16,22.22,-685.71,77.36,80.10
Other Income,0.05,-0.26,0.5,2.93,0.29,1.47,0.58,0.08,0.09,0.01,-0.26,0.01,0.00
Interest,1.31,1.32,1.68,1.53,1.24,1.54,0.85,0.94,0.63,0.66,0.65,0.62,0.58
Depreciation,0.55,0.49,0.08,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.07,0.07,0.08
Profit before tax,-2.27,-2.88,-0.77,1.92,-0.47,0.58,0.26,1.01,0.25,-0.66,-1.46,0.55,0.91
Tax %,26.43,0.0,0.0,0.0,0.0,18.97,30.77,2.97,0.0,0.0,0.0,5.45,
Net Profit,-1.67,-2.88,-0.76,1.92,-0.48,0.47,0.18,0.98,0.24,-0.65,-1.46,0.52,0.89
EPS in Rs,-2.56,-4.42,-1.17,2.95,-0.74,0.72,0.28,1.5,0.37,-1.0,-2.24,0.8,1.37
