,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,80.0,89,143,92
Inventory Days,93.0,159,137,104
Days Payable,72.0,108,137,79
Cash Conversion Cycle,100.0,140,143,116
Working Capital Days,93.0,125,169,145
ROCE %,,14,11,14
