,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,40.98,40.98,40.98,40.98,40.98,40.98,40.98,40.98
Public,59.02,59.02,59.02,59.02,59.02,59.02,59.02,59.03
No. of Shareholders,450.0,439.0,461.0,476.0,476.0,487.0,2095.0,1946.0
