,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,175.0,211.0,4262.0,12816.0,663.0,203
Expenses,170.0,199.0,3788.0,11498.0,1162.0,960
Operating Profit,5.0,12.0,474.0,1318.0,-498.0,-757
OPM %,3.0,5.0,11.0,10.0,-75.0,-373
Other Income,0.0,0.0,1.0,-273.0,94.0,99
Interest,0.0,0.0,10.0,8.0,55.0,4
Depreciation,0.0,0.0,1.0,6.0,8.0,6
Profit before tax,5.0,11.0,465.0,1031.0,-468.0,-668
Tax %,28.0,25.0,13.0,15.0,0.0,
Net Profit,4.0,8.0,406.0,873.0,-468.0,-673
EPS in Rs,0.76,1.69,72.39,155.44,-76.55,-109.24
