,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,3399,3404,4782,4810,5676,6218,6618,6722.0
Reserves,11278,11870,13418,10594,12224,14864,19229,
Borrowings,90360,105327,140337,122476,134322,158502,201682,
Other Liabilities,7027,5781,8563,11279,10849,10561,12353,
Total Liabilities,112064,126382,167099,149159,163072,190146,239882,
Fixed Assets,933,797,940,999,1370,1448,2054,
CWIP,6,3,34,74,65,79,219,
Investments,50164,60904,58245,45174,45182,45935,60913,
Other Assets,60962,64677,107880,102911,116454,142684,176696,
Total Assets,112064,126382,167099,149159,163072,190146,239882,
