,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,36,40,47,49,50,58,53,42,39,69,42,38
Inventory Days,75,69,80,97,78,134,90,68,96,97,85,64
Days Payable,23,8,14,16,17,40,30,29,43,65,33,28
Cash Conversion Cycle,88,101,114,131,110,152,113,80,92,102,93,74
Working Capital Days,77,64,83,94,80,100,92,75,84,98,79,64
ROCE %,3,8,12,9,11,17,9,12,8,8,20,8
