,2019-03-01,2019-09-01,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,38.75,43.49,40.51,21.39,39.22,37.88,42.64,39.06,41.43,39.62
Expenses,36.47,40.58,37.92,20.35,36.3,35.76,40.43,37.35,38.8,37.93
Operating Profit,2.28,2.91,2.59,1.04,2.92,2.12,2.21,1.71,2.63,1.69
OPM %,5.88,6.69,6.39,4.86,7.45,5.6,5.18,4.38,6.35,4.27
Other Income,0.13,0.28,0.26,0.38,0.47,0.4,0.13,0.09,0.44,0.13
Interest,1.43,1.39,1.54,1.4,0.98,1.35,1.01,1.14,1.23,1.3
Depreciation,0.6,0.64,0.61,0.53,0.44,0.36,0.3,0.31,0.35,0.31
Profit before tax,0.38,1.16,0.7,-0.51,1.97,0.81,1.03,0.35,1.49,0.21
Tax %,-15.79,13.79,22.86,-1.96,14.21,27.16,33.98,48.57,28.19,33.33
Net Profit,0.44,1.0,0.54,-0.52,1.69,0.59,0.68,0.19,1.07,0.14
EPS in Rs,0.82,1.86,1.01,-0.97,3.15,1.1,1.27,0.35,1.99,0.13
