,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,3.44,4.12,4.87,5.37,5.37,5.37,5.37,5.37,10.41
Reserves,3.65,8.09,14.57,19.56,21.11,22.28,23.55,,45.41
Borrowings,13.66,16.08,17.37,24.72,28.02,32.03,33.31,,23.31
Other Liabilities,2.71,3.59,3.86,4.28,7.44,9.39,10.16,,11.96
Total Liabilities,23.46,31.88,40.67,53.93,61.94,69.07,72.39,,91.8
Fixed Assets,6.41,7.33,9.81,8.26,7.29,6.38,5.73,,4.65
CWIP,0.44,1.44,0.23,7.42,14.98,16.86,18.58,,27.24
Investments,0.0,0.0,1.32,0.0,0.01,0.01,0.01,,1.18
Other Assets,16.61,23.11,29.31,38.25,39.66,45.82,48.07,,58.73
Total Assets,23.46,31.88,40.67,53.93,61.94,69.07,72.39,,91.8
