,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,51.62,59.4,65.87,76.34,83.99,60.61,80.52,81.56,81.05
Expenses,47.86,54.97,60.96,71.15,78.49,56.65,76.12,78.07,76.73
Operating Profit,3.76,4.43,4.91,5.19,5.5,3.96,4.4,3.49,4.32
OPM %,7.28,7.46,7.45,6.8,6.55,6.53,5.46,4.28,5.33
Other Income,0.77,0.48,0.66,0.76,0.53,0.85,0.53,0.22,0.57
Interest,1.73,2.41,2.6,2.88,2.92,2.38,2.42,2.22,2.53
Depreciation,0.88,1.05,1.3,1.25,1.25,0.97,0.66,0.62,0.66
Profit before tax,1.92,1.45,1.67,1.82,1.86,1.46,1.85,0.87,1.70
Tax %,18.23,25.52,26.35,18.13,16.67,19.86,31.35,24.14,
Net Profit,1.57,1.08,1.23,1.49,1.55,1.17,1.27,0.67,1.21
EPS in Rs,4.56,2.62,2.53,2.78,2.89,2.18,2.37,1.25,2.12
