,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,3,25,25,25,56
Reserves,4,34,22,-5,57
Borrowings,25,60,82,92,17
Other Liabilities,101,45,48,53,24
Total Liabilities,133,164,177,165,154
Fixed Assets,50,0,57,58,58
CWIP,0,0,1,1,1
Investments,1,17,17,17,17
Other Assets,81,146,102,90,79
Total Assets,133,164,177,165,154
