,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,-7.81,34.62,4.55,4.15,13.24,39.05,8.71,4.04,8.31,43.54,11.85
Expenses,-0.56,29.27,9.99,9.58,15.29,32.31,12.99,13.52,26.32,35.85,16.17
Operating Profit,-7.25,5.35,-5.44,-5.43,-2.05,6.74,-4.28,-9.48,-18.01,7.69,-4.32
OPM %,,15.45,-119.56,-130.84,-15.48,17.26,-49.14,-234.65,-216.73,17.66,-36.46
Other Income,1.37,0.06,0.03,0.08,0.01,0.03,0.05,0.07,0.44,0.09,0.18
Interest,1.59,1.88,1.96,2.48,2.39,2.55,2.98,3.06,2.85,1.5,0.24
Depreciation,0.04,0.06,0.06,0.05,0.17,0.14,0.19,0.19,0.26,0.18,0.19
Profit before tax,-7.51,3.47,-7.43,-7.88,-4.6,4.08,-7.4,-12.66,-20.68,6.1,-4.57
Tax %,27.30,13.83,12.92,7.87,71.74,0.74,19.59,25.67,24.61,17.21,13.35
Net Profit,-5.46,2.98,-6.47,-7.27,-1.3,4.04,-5.94,-9.41,-15.59,5.05,-3.97
EPS in Rs,-21.75,11.87,-25.78,-2.89,-0.52,1.61,-2.36,-3.74,-6.2,0.9,-0.71
