,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,172.0,87,158,136
Inventory Days,404.0,395,582,311
Days Payable,252.0,130,215,178
Cash Conversion Cycle,323.0,352,525,268
Working Capital Days,134.0,238,263,132
ROCE %,,1,-6,-21
