,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Promoters,24.85,24.85,24.85,24.85,24.85,24.85,23.7,51.09,51.09,51.09,51.09,51.09
FIIs,0.2,0.2,0.2,0.2,0.2,0.2,0.16,0.16,0.16,0.16,0.16,0.16
Public,74.95,74.95,74.95,74.95,74.95,74.95,76.13,48.75,48.75,48.75,48.75,48.75
No. of Shareholders,592.0,591.0,597.0,605.0,614.0,671.0,655.0,632.0,626.0,620.0,621.0,615.0
