,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,5.87,8.24,8.24,8.24,10.29,10.29
Reserves,5.09,1.49,0.1,2.91,1.66,1.58
Borrowings,13.97,15.35,14.18,13.95,13.9,11.81
Other Liabilities,23.54,59.72,11.32,7.85,10.88,8.14
Total Liabilities,48.47,84.8,33.84,32.95,36.73,31.82
Fixed Assets,0.44,0.4,0.35,0.31,0.26,0.24
CWIP,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,48.03,84.4,33.49,32.64,36.47,31.58
Total Assets,48.47,84.8,33.84,32.95,36.73,31.82
