,2019-09-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,34.27,2.0,2.12,2.12,5.08,1.0,0.72,0.00
Expenses,31.97,2.07,1.35,1.35,1.62,0.0,0.85,0.07
Operating Profit,2.3,-0.07,0.77,0.77,3.46,1.0,-0.13,-0.07
OPM %,6.71,-3.5,36.32,36.32,68.11,100.0,-18.06,
Other Income,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
Interest,0.85,0.01,0.69,0.69,0.69,0.0,0.0,0.00
Depreciation,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.02
Profit before tax,1.43,-0.11,0.06,0.06,2.75,0.98,-0.15,-0.09
Tax %,27.27,0.0,33.33,33.33,-0.73,0.0,0.0,0.00
Net Profit,1.04,-0.11,0.05,0.05,2.77,0.97,-0.16,-0.09
EPS in Rs,0.1,-0.01,0.0,0.0,0.27,0.09,-0.02,-0.01
