,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,55.82,73.64,8.27,2.28,0.63,0.72
Expenses,56.84,81.97,11.8,2.95,0.86,0.92
Operating Profit,-1.02,-8.33,-3.53,-0.67,-0.23,-0.20
OPM %,-1.83,-11.31,-42.68,-29.39,-36.51,-27.78
Other Income,3.55,0.25,3.85,4.91,1.09,0.00
Interest,1.39,1.61,1.67,1.38,0.0,0.00
Depreciation,0.03,0.05,0.05,0.05,0.05,0.04
Profit before tax,1.11,-9.74,-1.4,2.81,0.81,-0.24
Tax %,27.93,0.0,0.0,0.0,0.0,
Net Profit,0.8,-9.74,-1.39,2.81,0.81,-0.25
EPS in Rs,0.11,-0.95,-0.13,0.27,0.08,-0.03
