,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0,268,269,269,270,270,271
Reserves,0,691,780,938,1040,1381,1586
Borrowings,0,132,204,230,227,287,376
Other Liabilities,0,582,384,531,799,1402,1511
Total Liabilities,0,1674,1637,1968,2336,3341,3745
Fixed Assets,0,420,526,577,641,1684,1920
CWIP,0,1,5,12,0,33,4
Investments,0,50,9,127,129,64,19
Other Assets,0,1204,1096,1251,1566,1559,1801
Total Assets,0,1674,1637,1968,2336,3341,3745
