,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0,641.0,2156.0,2036.0,2432.0,3365.0,4231
Expenses,0,550.0,1866.0,1729.0,1981.0,2732.0,3425
Operating Profit,-0,92.0,290.0,307.0,451.0,633.0,806
OPM %,,14.0,13.0,15.0,19.0,19.0,19
Other Income,0,1.0,19.0,21.0,32.0,43.0,56
Interest,0,7.0,20.0,17.0,19.0,32.0,46
Depreciation,0,19.0,108.0,133.0,120.0,146.0,176
Profit before tax,-0,67.0,181.0,178.0,345.0,497.0,640
Tax %,0,18.0,18.0,17.0,20.0,22.0,
Net Profit,-0,55.0,148.0,147.0,276.0,387.0,491
EPS in Rs,-27.00,1.98,5.38,5.33,10.0,13.9,17.77
