,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,71.52,71.52,70.48,48.73,48.73,48.73,34.53,32.53,32.48
FIIs,3.51,2.54,2.32,2.32,1.67,1.6,0.49,0.01,0.82
DIIs,4.28,4.24,7.27,7.23,6.1,6.1,4.19,3.58,2.74
Public,20.69,21.7,19.93,41.72,43.5,43.57,60.79,63.88,63.96
No. of Shareholders,28440.0,30024.0,33773.0,32177.0,31730.0,65663.0,400621.0,406710.0,474006.0
