,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.01,0.01,4.03,4.03,4.02
Reserves,-0.13,0.08,11.2,12.22,13.21
Borrowings,0.41,6.6,12.3,7.92,13.08
Other Liabilities,0.07,3.06,14.38,13.98,11.29
Total Liabilities,0.36,9.75,41.91,38.15,41.61
Fixed Assets,0.01,0.0,7.9,9.36,11.66
CWIP,0.0,0.5,0.0,0.0,0.0
Investments,0.0,0.0,0.02,0.02,0.02
Other Assets,0.35,9.25,33.99,28.77,29.93
Total Assets,0.36,9.75,41.91,38.15,41.61
