,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,,12.51,19.28,0.38
Inventory Days,,801.85,167.91,179.15
Days Payable,,432.54,64.29,45.37
Cash Conversion Cycle,,381.82,122.9,134.16
Working Capital Days,,397.98,79.88,60.76
ROCE %,,6.3,-26.13,8.36
