,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,21.07,23.21,28.86,21.14,23.5,24.1,25.95,23.29
Expenses,21.27,23.91,28.95,21.11,21.66,22.44,24.2,21.72
Operating Profit,-0.20,-0.70,-0.09,0.03,1.84,1.66,1.75,1.57
OPM %,-0.95,-3.02,-0.31,0.14,7.83,6.89,6.74,6.74
Other Income,0.00,0.00,0.00,0.02,0.0,0.02,0.0,0.0
Interest,0.07,0.02,0.36,0.3,0.29,0.18,0.35,0.38
Depreciation,0.26,0.29,0.30,0.32,0.35,0.36,0.8,0.8
Profit before tax,-0.53,-1.01,-0.75,-0.57,1.2,1.14,0.6,0.39
Tax %,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0
Net Profit,-0.53,-1.01,-0.75,-0.57,1.2,1.14,0.61,0.38
EPS in Rs,,,,-1.41,2.98,2.83,1.51,0.94
