,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.00,3.21,78.36,96.05,96.84
Expenses,0.13,2.93,81.88,92.61,90.02
Operating Profit,-0.13,0.28,-3.52,3.44,6.82
OPM %,,8.72,-4.49,3.58,7.04
Other Income,0.00,0.00,0.01,0.04,0.02
Interest,0.00,0.00,0.51,1.13,1.20
Depreciation,0.00,0.06,0.96,1.32,2.31
Profit before tax,-0.13,0.22,-4.98,1.03,3.33
Tax %,0.00,4.55,0.00,0.0,
Net Profit,-0.13,0.21,-4.98,1.02,3.33
EPS in Rs,,,,2.53,8.26
